,date,price,qty,sell_id,sell_cat,item,year,holiday,is_weekend,is_schoolbreak,avg_temperature,is_outdoor,is_holiday
0,2012-01-01,15.5,46,1070,0,BURGER,2012,5,1,0,24.8,0,1
1,2012-01-01,12.73,22,2051,2,BURGER,2012,5,1,0,24.8,0,1
2,2012-01-01,12.73,22,2051,2,COKE,2012,5,1,0,24.8,0,1
3,2012-01-01,12.75,18,2052,2,BURGER,2012,5,1,0,24.8,0,1
4,2012-01-01,12.75,18,2052,2,LEMONADE,2012,5,1,0,24.8,0,1
5,2012-01-01,12.6,30,2053,2,BURGER,2012,5,1,0,24.8,0,1
6,2012-01-01,12.6,30,2053,2,COKE,2012,5,1,0,24.8,0,1
7,2012-01-01,12.6,30,2053,2,COFFEE,2012,5,1,0,24.8,0,1
8,2012-01-02,15.5,70,1070,0,BURGER,2012,5,0,0,24.8,0,1
9,2012-01-02,12.73,22,2051,2,BURGER,2012,5,0,0,24.8,0,1
10,2012-01-02,12.73,22,2051,2,COKE,2012,5,0,0,24.8,0,1
11,2012-01-02,12.75,16,2052,2,BURGER,2012,5,0,0,24.8,0,1
12,2012-01-02,12.75,16,2052,2,LEMONADE,2012,5,0,0,24.8,0,1
13,2012-01-02,12.6,34,2053,2,BURGER,2012,5,0,0,24.8,0,1
14,2012-01-02,12.6,34,2053,2,COKE,2012,5,0,0,24.8,0,1
15,2012-01-02,12.6,34,2053,2,COFFEE,2012,5,0,0,24.8,0,1
16,2012-01-03,15.5,62,1070,0,BURGER,2012,5,0,0,32.0,1,1
17,2012-01-03,12.73,26,2051,2,BURGER,2012,5,0,0,32.0,1,1
18,2012-01-03,12.73,26,2051,2,COKE,2012,5,0,0,32.0,1,1
19,2012-01-03,12.75,12,2052,2,BURGER,2012,5,0,0,32.0,1,1
20,2012-01-03,12.75,12,2052,2,LEMONADE,2012,5,0,0,32.0,1,1
21,2012-01-03,12.6,28,2053,2,BURGER,2012,5,0,0,32.0,1,1
22,2012-01-03,12.6,28,2053,2,COKE,2012,5,0,0,32.0,1,1
23,2012-01-03,12.6,28,2053,2,COFFEE,2012,5,0,0,32.0,1,1
24,2012-01-04,15.5,88,1070,0,BURGER,2012,6,0,0,32.0,1,0
25,2012-01-04,12.73,26,2051,2,BURGER,2012,6,0,0,32.0,1,0
26,2012-01-04,12.73,26,2051,2,COKE,2012,6,0,0,32.0,1,0
27,2012-01-04,12.75,24,2052,2,BURGER,2012,6,0,0,32.0,1,0
28,2012-01-04,12.75,24,2052,2,LEMONADE,2012,6,0,0,32.0,1,0
29,2012-01-04,12.6,42,2053,2,BURGER,2012,6,0,0,32.0,1,0
30,2012-01-04,12.6,42,2053,2,COKE,2012,6,0,0,32.0,1,0
31,2012-01-04,12.6,42,2053,2,COFFEE,2012,6,0,0,32.0,1,0
32,2012-01-05,15.5,104,1070,0,BURGER,2012,6,0,0,24.8,0,0
33,2012-01-05,12.73,36,2051,2,BURGER,2012,6,0,0,24.8,0,0
34,2012-01-05,12.73,36,2051,2,COKE,2012,6,0,0,24.8,0,0
35,2012-01-05,12.75,24,2052,2,BURGER,2012,6,0,0,24.8,0,0
36,2012-01-05,12.75,24,2052,2,LEMONADE,2012,6,0,0,24.8,0,0
37,2012-01-05,12.6,58,2053,2,BURGER,2012,6,0,0,24.8,0,0
38,2012-01-05,12.6,58,2053,2,COKE,2012,6,0,0,24.8,0,0
39,2012-01-05,12.6,58,2053,2,COFFEE,2012,6,0,0,24.8,0,0
40,2012-01-06,15.5,100,1070,0,BURGER,2012,6,0,0,23.0,0,0
