,1070,2051,2052,2053
0,46,22,18,30
1,70,22,16,34
2,62,26,12,28
3,88,26,24,42
4,104,36,24,58
5,100,38,20,54
6,70,24,18,42
7,70,26,18,42
8,106,34,24,54
9,108,40,28,58
10,104,32,26,52
11,102,32,26,60
12,100,40,26,58
13,74,24,20,42
14,60,22,18,32
15,104,40,28,56
16,106,38,22,54
17,108,40,24,58
18,100,32,24,54
19,100,36,22,58
20,70,22,22,40
21,74,30,16,34
22,108,38,20,52
23,100,36,26,56
24,100,38,26,60
25,106,38,26,52
26,86,28,18,46
27,62,24,14,34
28,70,22,14,38
29,106,34,22,52
30,84,30,16,42
31,90,28,20,48
32,64,18,18,34
33,62,20,16,32
34,42,12,16,20
35,38,12,8,28
36,56,26,12,32
37,56,18,18,30
38,60,20,16,30
39,88,28,16,42
40,90,26,20,44
41,76,26,14,40
42,72,26,16,34
43,90,30,16,46
44,82,32,18,44
45,86,30,16,48
46,86,32,16,42
47,84,26,18,42
48,62,18,16,30
49,60,26,16,28
50,88,26,20,44
51,90,26,20,44
52,90,30,20,44
53,88,30,22,46
54,82,28,24,46
55,62,22,12,36
56,60,22,14,30
57,82,30,20,50
58,86,26,22,42
59,84,32,20,50
60,86,34,24,46
61,64,26,12,30
62,62,26,18,28
63,88,34,22,46
64,86,26,16,44
65,84,34,24,44
66,86,28,20,42
67,90,34,20,44
68,56,22,18,28
69,64,20,18,34
70,84,34,20,50
71,88,28,16,44
72,84,28,20,42
73,86,26,18,46
74,88,32,16,46
75,56,22,20,28
76,60,20,18,30
77,88,30,22,50
78,84,30,16,42
79,90,28,16,42
80,90,28,20,44
81,90,34,24,46
82,56,20,12,32
83,62,24,14,32
84,90,28,18,50
85,90,34,20,46
86,88,34,16,48
87,86,30,16,50
88,84,34,22,42
89,60,20,18,28
90,58,20,18,34
91,82,26,18,44
92,64,26,20,36
93,58,22,16,30
94,62,26,12,30
95,82,28,22,44
96,64,26,20,32
97,64,20,16,30
98,86,30,16,44
99,88,28,18,50
100,84,34,16,50
101,82,30,24,50
102,90,30,18,42
103,64,22,18,34
104,58,22,20,28
105,82,30,20,50
106,82,28,20,42
107,90,32,18,46
108,88,30,24,48
109,86,28,22,48
110,56,20,14,28
111,64,26,12,36
112,90,28,18,46
113,82,32,24,48
114,88,28,16,48
115,82,30,22,46
116,88,28,24,48
117,62,20,12,34
118,58,20,12,28
119,64,22,16,36
120,64,22,22,44
121,62,24,20,42
122,86,32,26,58
123,94,30,26,58
124,62,20,16,40
125,66,24,20,42
126,90,34,26,60
127,88,36,20,60
128,94,32,24,62
129,88,36,22,58
130,94,36,24,62
131,60,26,22,42
132,58,28,14,40
133,94,36,22,60
134,86,32,20,56
135,88,32,24,58
136,90,32,20,64
137,92,38,22,62
138,58,24,14,38
139,62,26,18,38
140,92,38,26,64
141,90,30,24,58
142,90,38,24,64
143,90,32,28,56
144,88,36,24,56
145,60,26,14,40
146,60,24,22,42
147,86,34,26,60
148,90,38,26,60
149,90,38,24,60
150,88,30,26,64
151,86,34,28,60
152,60,22,16,46
153,66,22,20,42
154,58,28,16,42
155,62,24,14,40
156,62,28,20,38
157,92,36,22,62
158,92,34,22,56
159,64,24,16,46
160,62,24,14,38
161,92,34,20,58
162,90,36,20,64
163,88,36,20,64
164,88,30,20,64
165,94,32,20,60
