,1070,2051,2052,2053
0,15.5,12.73,12.75,12.6
1,15.5,12.73,12.75,12.6
2,15.5,12.73,12.75,12.6
3,15.5,12.73,12.75,12.6
4,15.5,12.73,12.75,12.6
5,15.5,12.73,12.75,12.6
6,15.5,12.73,12.75,12.6
7,15.5,12.73,12.75,12.6
8,15.5,12.73,12.75,12.6
9,15.5,12.73,12.75,12.6
10,15.5,12.73,12.75,12.6
11,15.5,12.73,12.75,12.6
12,15.5,12.73,12.75,12.6
13,15.5,12.73,12.75,12.6
14,15.5,12.73,12.75,12.6
15,15.5,12.73,12.75,12.6
16,15.5,12.73,12.75,12.6
17,15.5,12.73,12.75,12.6
18,15.5,12.73,12.75,12.6
19,15.5,12.73,12.75,12.6
20,15.5,12.73,12.75,12.6
21,15.5,12.73,12.75,12.6
22,15.5,12.73,12.75,12.6
23,15.5,12.73,12.75,12.6
24,15.5,12.73,12.75,12.6
25,15.5,12.73,12.75,12.6
26,15.5,12.73,12.75,12.6
27,15.5,12.73,12.75,12.6
28,15.5,12.73,12.75,12.6
29,15.5,12.73,12.75,12.6
30,15.5,12.73,12.75,12.6
31,15.5,12.73,12.75,12.6
32,15.5,12.73,12.75,12.6
33,15.5,12.73,12.75,12.6
34,15.5,12.73,12.75,12.6
35,15.5,12.73,12.75,12.6
36,15.5,12.73,12.75,12.6
37,15.5,12.73,12.75,12.6
38,15.5,12.73,12.75,12.6
39,15.5,12.73,12.75,12.6
40,15.5,12.73,12.75,12.6
41,15.5,12.73,12.75,12.6
42,15.5,12.73,12.75,12.6
43,15.5,12.73,12.75,12.6
44,15.5,12.73,12.75,12.6
45,15.5,12.73,12.75,12.6
46,15.5,12.73,12.75,12.6
47,15.5,12.73,12.75,12.6
48,15.5,12.73,12.75,12.6
49,15.5,12.73,12.75,12.6
50,15.5,12.73,12.75,12.6
51,15.5,12.73,12.75,12.6
52,15.5,12.73,12.75,12.6
53,15.5,12.73,12.75,12.6
54,15.5,12.73,12.75,12.6
55,15.5,12.73,12.75,12.6
56,15.5,12.73,12.75,12.6
57,15.5,12.73,12.75,12.6
58,15.5,12.73,12.75,12.6
59,15.5,12.73,12.75,12.6
60,15.5,12.73,12.75,12.6
61,15.5,12.73,12.75,12.6
62,15.5,12.73,12.75,12.6
63,15.5,12.73,12.75,12.6
64,15.5,12.73,12.75,12.6
65,15.5,12.73,12.75,12.6
66,15.5,12.73,12.75,12.6
67,15.5,12.73,12.75,12.6
68,15.5,12.73,12.75,12.6
69,15.5,12.73,12.75,12.6
70,15.5,12.73,12.75,12.6
71,15.5,12.73,12.75,12.6
72,15.5,12.73,12.75,12.6
73,15.5,12.73,12.75,12.6
74,15.5,12.73,12.75,12.6
75,15.5,12.73,12.75,12.6
76,15.5,12.73,12.75,12.6
77,15.5,12.73,12.75,12.6
78,15.5,12.73,12.75,12.6
79,15.5,12.73,12.75,12.6
80,15.5,12.73,12.75,12.6
81,15.5,12.73,12.75,12.6
82,15.5,12.73,12.75,12.6
83,15.5,12.73,12.75,12.6
84,15.5,12.73,12.75,12.6
85,15.5,12.73,12.75,12.6
86,15.5,12.73,12.75,12.6
87,15.5,12.73,12.75,12.6
88,15.5,12.73,12.75,12.6
89,15.5,12.73,12.75,12.6
90,15.5,12.73,12.75,12.6
91,15.5,12.73,12.75,12.6
92,15.5,12.73,12.75,12.6
93,15.5,12.73,12.75,12.6
94,15.5,12.73,12.75,12.6
95,15.5,12.73,12.75,12.6
96,15.5,12.73,12.75,12.6
97,15.5,12.73,12.75,12.6
98,15.5,12.73,12.75,12.6
99,15.5,12.73,12.75,12.6
100,15.5,12.73,12.75,12.6
101,15.5,12.73,12.75,12.6
102,15.5,12.73,12.75,12.6
103,15.5,12.73,12.75,12.6
104,15.5,12.73,12.75,12.6
105,15.5,12.73,12.75,12.6
106,15.5,12.73,12.75,12.6
107,15.5,12.73,12.75,12.6
108,15.5,12.73,12.75,12.6
